question,sql
Count all rows in employees,SELECT COUNT(*) FROM employees;
Show date from orders where date >= 90,SELECT date FROM orders WHERE date >= 90;
Show order_id from orders where status <= 100,SELECT order_id FROM orders WHERE status <= 100;
Find minimum name in students,SELECT MIN(name) FROM students;
Find all records in products where name = 30,SELECT * FROM products WHERE name = 30;
Find all records in orders where order_id >= 80,SELECT * FROM orders WHERE order_id >= 80;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find minimum status in orders,SELECT MIN(status) FROM orders;
Find maximum department in employees,SELECT MAX(department) FROM employees;
Find maximum order_id in orders,SELECT MAX(order_id) FROM orders;
Show age from customers where customer_id <= 80,SELECT age FROM customers WHERE customer_id <= 80;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show all orders ordered by date,SELECT * FROM orders ORDER BY date;
Find minimum name in products,SELECT MIN(name) FROM products;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Find minimum order_id in orders,SELECT MIN(order_id) FROM orders;
Show name from employees where department < 30,SELECT name FROM employees WHERE department < 30;
List all department from students,SELECT department FROM students;
List all customer_id from customers,SELECT customer_id FROM customers;
Find maximum price in products,SELECT MAX(price) FROM products;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Count all rows in customers,SELECT COUNT(*) FROM customers;
List all name from products,SELECT name FROM products;
Find all records in products where name < 20,SELECT * FROM products WHERE name < 20;
Find all records in students where id < 60,SELECT * FROM students WHERE id < 60;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Find average stock in products,SELECT AVG(stock) FROM products;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find all records in customers where customer_id = 100,SELECT * FROM customers WHERE customer_id = 100;
Find maximum name in students,SELECT MAX(name) FROM students;
Find average city in customers,SELECT AVG(city) FROM customers;
Show all customers ordered by age,SELECT * FROM customers ORDER BY age;
Show all employees,SELECT * FROM employees;
Find average date in orders,SELECT AVG(date) FROM orders;
Find all records in customers where membership = 100,SELECT * FROM customers WHERE membership = 100;
Find average membership in customers,SELECT AVG(membership) FROM customers;
List all city from customers,SELECT city FROM customers;
Show all students,SELECT * FROM students;
Show date from orders where status = 90,SELECT date FROM orders WHERE status = 90;
Find average order_id in orders,SELECT AVG(order_id) FROM orders;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Show all employees ordered by department,SELECT * FROM employees ORDER BY department;
Show category from products where product_id < 50,SELECT category FROM products WHERE product_id < 50;
Show category from products where name = 50,SELECT category FROM products WHERE name = 50;
Find all records in products where product_id >= 40,SELECT * FROM products WHERE product_id >= 40;
Show category from products where price = 10,SELECT category FROM products WHERE price = 10;
Show all customers ordered by customer_id,SELECT * FROM customers ORDER BY customer_id;
Find average category in products,SELECT AVG(category) FROM products;
Find all records in products where name = 100,SELECT * FROM products WHERE name = 100;
Find maximum department in employees,SELECT MAX(department) FROM employees;
Show product_id from products where stock < 20,SELECT product_id FROM products WHERE stock < 20;
Show all employees,SELECT * FROM employees;
Find minimum age in students,SELECT MIN(age) FROM students;
Find maximum marks in students,SELECT MAX(marks) FROM students;
Count all rows in products,SELECT COUNT(*) FROM products;
Show all products,SELECT * FROM products;
List all department from students,SELECT department FROM students;
Find minimum product_id in products,SELECT MIN(product_id) FROM products;
List all department from students,SELECT department FROM students;
List all id from employees,SELECT id FROM employees;
Show name from students where name >= 70,SELECT name FROM students WHERE name >= 70;
Find all records in orders where amount > 90,SELECT * FROM orders WHERE amount > 90;
Find average id in students,SELECT AVG(id) FROM students;
Show category from products where price < 10,SELECT category FROM products WHERE price < 10;
Find minimum age in customers,SELECT MIN(age) FROM customers;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
Find maximum product_id in products,SELECT MAX(product_id) FROM products;
Find maximum price in products,SELECT MAX(price) FROM products;
Show age from customers where membership > 50,SELECT age FROM customers WHERE membership > 50;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
Count all rows in students,SELECT COUNT(*) FROM students;
Find maximum age in customers,SELECT MAX(age) FROM customers;
Find average marks in students,SELECT AVG(marks) FROM students;
Find maximum id in employees,SELECT MAX(id) FROM employees;
Count all rows in products,SELECT COUNT(*) FROM products;
Find maximum id in students,SELECT MAX(id) FROM students;
Count all rows in students,SELECT COUNT(*) FROM students;
Find minimum age in employees,SELECT MIN(age) FROM employees;
Show all products,SELECT * FROM products;
Show all orders ordered by status,SELECT * FROM orders ORDER BY status;
Show all orders,SELECT * FROM orders;
Find minimum amount in orders,SELECT MIN(amount) FROM orders;
Find average status in orders,SELECT AVG(status) FROM orders;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Find maximum status in orders,SELECT MAX(status) FROM orders;
Show all customers,SELECT * FROM customers;
Find all records in products where price >= 90,SELECT * FROM products WHERE price >= 90;
Find maximum age in customers,SELECT MAX(age) FROM customers;
Show all employees,SELECT * FROM employees;
Find maximum price in products,SELECT MAX(price) FROM products;
List all marks from students,SELECT marks FROM students;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show all products ordered by name,SELECT * FROM products ORDER BY name;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
Find all records in products where price = 20,SELECT * FROM products WHERE price = 20;
List all age from students,SELECT age FROM students;
Show all customers ordered by name,SELECT * FROM customers ORDER BY name;
Count all rows in products,SELECT COUNT(*) FROM products;
Find maximum membership in customers,SELECT MAX(membership) FROM customers;
List all date from orders,SELECT date FROM orders;
Show id from students where department < 30,SELECT id FROM students WHERE department < 30;
Find all records in customers where membership = 100,SELECT * FROM customers WHERE membership = 100;
Count all rows in students,SELECT COUNT(*) FROM students;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show all customers ordered by age,SELECT * FROM customers ORDER BY age;
Find average age in customers,SELECT AVG(age) FROM customers;
Count all rows in products,SELECT COUNT(*) FROM products;
Find maximum name in students,SELECT MAX(name) FROM students;
Find all records in students where marks > 90,SELECT * FROM students WHERE marks > 90;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Show all orders,SELECT * FROM orders;
Find average order_id in orders,SELECT AVG(order_id) FROM orders;
Find all records in products where price = 100,SELECT * FROM products WHERE price = 100;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show all products,SELECT * FROM products;
Show all products ordered by product_id,SELECT * FROM products ORDER BY product_id;
Find minimum price in products,SELECT MIN(price) FROM products;
Show all products ordered by stock,SELECT * FROM products ORDER BY stock;
Find maximum date in orders,SELECT MAX(date) FROM orders;
Find maximum department in employees,SELECT MAX(department) FROM employees;
Show all products ordered by product_id,SELECT * FROM products ORDER BY product_id;
Show all customers ordered by membership,SELECT * FROM customers ORDER BY membership;
Show all customers ordered by membership,SELECT * FROM customers ORDER BY membership;
Find average id in employees,SELECT AVG(id) FROM employees;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Find average department in employees,SELECT AVG(department) FROM employees;
Show age from employees where name < 80,SELECT age FROM employees WHERE name < 80;
Show all customers ordered by membership,SELECT * FROM customers ORDER BY membership;
Find minimum name in employees,SELECT MIN(name) FROM employees;
Show all employees,SELECT * FROM employees;
Find minimum stock in products,SELECT MIN(stock) FROM products;
Find average age in customers,SELECT AVG(age) FROM customers;
Find maximum name in employees,SELECT MAX(name) FROM employees;
Find average age in students,SELECT AVG(age) FROM students;
Find maximum status in orders,SELECT MAX(status) FROM orders;
Show category from products where stock < 40,SELECT category FROM products WHERE stock < 40;
Show category from products where name <= 80,SELECT category FROM products WHERE name <= 80;
Find all records in products where price >= 70,SELECT * FROM products WHERE price >= 70;
Find average name in customers,SELECT AVG(name) FROM customers;
Show age from students where marks < 60,SELECT age FROM students WHERE marks < 60;
Show all students,SELECT * FROM students;
Count all rows in customers,SELECT COUNT(*) FROM customers;
List all category from products,SELECT category FROM products;
Find minimum product_id in products,SELECT MIN(product_id) FROM products;
Show name from products where name >= 50,SELECT name FROM products WHERE name >= 50;
Find all records in employees where salary >= 30,SELECT * FROM employees WHERE salary >= 30;
Find average department in employees,SELECT AVG(department) FROM employees;
Find average order_id in orders,SELECT AVG(order_id) FROM orders;
Find minimum city in customers,SELECT MIN(city) FROM customers;
Find minimum date in orders,SELECT MIN(date) FROM orders;
Show city from customers where name >= 80,SELECT city FROM customers WHERE name >= 80;
Find minimum order_id in orders,SELECT MIN(order_id) FROM orders;
Find average customer_id in orders,SELECT AVG(customer_id) FROM orders;
Find average amount in orders,SELECT AVG(amount) FROM orders;
Find minimum date in orders,SELECT MIN(date) FROM orders;
Show all products ordered by product_id,SELECT * FROM products ORDER BY product_id;
Show all orders ordered by date,SELECT * FROM orders ORDER BY date;
List all age from customers,SELECT age FROM customers;
Find minimum status in orders,SELECT MIN(status) FROM orders;
Show all students,SELECT * FROM students;
List all product_id from products,SELECT product_id FROM products;
Find all records in employees where department > 70,SELECT * FROM employees WHERE department > 70;
Show all products,SELECT * FROM products;
Count all rows in students,SELECT COUNT(*) FROM students;
Find minimum name in customers,SELECT MIN(name) FROM customers;
Show amount from orders where amount > 30,SELECT amount FROM orders WHERE amount > 30;
Show customer_id from orders where order_id > 30,SELECT customer_id FROM orders WHERE order_id > 30;
Find all records in employees where salary <= 50,SELECT * FROM employees WHERE salary <= 50;
Count all rows in students,SELECT COUNT(*) FROM students;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find maximum name in customers,SELECT MAX(name) FROM customers;
Find minimum department in employees,SELECT MIN(department) FROM employees;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Find average age in customers,SELECT AVG(age) FROM customers;
Find all records in orders where order_id = 50,SELECT * FROM orders WHERE order_id = 50;
Find all records in orders where order_id < 20,SELECT * FROM orders WHERE order_id < 20;
Show all students,SELECT * FROM students;
Find all records in customers where name > 100,SELECT * FROM customers WHERE name > 100;
Find all records in products where stock > 100,SELECT * FROM products WHERE stock > 100;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find average customer_id in orders,SELECT AVG(customer_id) FROM orders;
Show city from customers where name < 100,SELECT city FROM customers WHERE name < 100;
Show all orders ordered by amount,SELECT * FROM orders ORDER BY amount;
Find maximum membership in customers,SELECT MAX(membership) FROM customers;
Find minimum salary in employees,SELECT MIN(salary) FROM employees;
Count all rows in students,SELECT COUNT(*) FROM students;
Find all records in products where product_id < 50,SELECT * FROM products WHERE product_id < 50;
Find minimum salary in employees,SELECT MIN(salary) FROM employees;
Find minimum stock in products,SELECT MIN(stock) FROM products;
List all name from students,SELECT name FROM students;
Find average id in employees,SELECT AVG(id) FROM employees;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
Show all orders,SELECT * FROM orders;
List all city from customers,SELECT city FROM customers;
Show all customers ordered by membership,SELECT * FROM customers ORDER BY membership;
Find average product_id in products,SELECT AVG(product_id) FROM products;
List all age from employees,SELECT age FROM employees;
Show all products,SELECT * FROM products;
Count all rows in products,SELECT COUNT(*) FROM products;
Show all employees ordered by age,SELECT * FROM employees ORDER BY age;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find average order_id in orders,SELECT AVG(order_id) FROM orders;
Show all customers ordered by customer_id,SELECT * FROM customers ORDER BY customer_id;
Find all records in customers where name = 90,SELECT * FROM customers WHERE name = 90;
List all date from orders,SELECT date FROM orders;
Show all orders,SELECT * FROM orders;
Show all products,SELECT * FROM products;
List all stock from products,SELECT stock FROM products;
Find all records in customers where name < 50,SELECT * FROM customers WHERE name < 50;
Show all students ordered by age,SELECT * FROM students ORDER BY age;
Find maximum city in customers,SELECT MAX(city) FROM customers;
Show date from orders where date = 50,SELECT date FROM orders WHERE date = 50;
Show membership from customers where city >= 80,SELECT membership FROM customers WHERE city >= 80;
Find minimum city in customers,SELECT MIN(city) FROM customers;
Find maximum name in customers,SELECT MAX(name) FROM customers;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Find average id in employees,SELECT AVG(id) FROM employees;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find maximum date in orders,SELECT MAX(date) FROM orders;
Find minimum name in employees,SELECT MIN(name) FROM employees;
Show all customers,SELECT * FROM customers;
List all city from customers,SELECT city FROM customers;
Find maximum name in customers,SELECT MAX(name) FROM customers;
Find minimum order_id in orders,SELECT MIN(order_id) FROM orders;
Find all records in orders where amount <= 10,SELECT * FROM orders WHERE amount <= 10;
Find all records in products where price >= 50,SELECT * FROM products WHERE price >= 50;
Find all records in students where marks < 50,SELECT * FROM students WHERE marks < 50;
Show all products ordered by name,SELECT * FROM products ORDER BY name;
Find maximum id in employees,SELECT MAX(id) FROM employees;
Show all orders,SELECT * FROM orders;
Find all records in products where price < 10,SELECT * FROM products WHERE price < 10;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Find all records in orders where customer_id <= 80,SELECT * FROM orders WHERE customer_id <= 80;
Find all records in customers where membership >= 90,SELECT * FROM customers WHERE membership >= 90;
Find all records in students where age = 80,SELECT * FROM students WHERE age = 80;
Find maximum order_id in orders,SELECT MAX(order_id) FROM orders;
Find minimum marks in students,SELECT MIN(marks) FROM students;
List all membership from customers,SELECT membership FROM customers;
List all age from students,SELECT age FROM students;
Find maximum department in students,SELECT MAX(department) FROM students;
Show name from customers where age < 30,SELECT name FROM customers WHERE age < 30;
Show city from customers where name >= 80,SELECT city FROM customers WHERE name >= 80;
Find minimum order_id in orders,SELECT MIN(order_id) FROM orders;
Show all products,SELECT * FROM products;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show all products,SELECT * FROM products;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
Find maximum category in products,SELECT MAX(category) FROM products;
Show all students,SELECT * FROM students;
Show all employees,SELECT * FROM employees;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Find average id in students,SELECT AVG(id) FROM students;
Find minimum salary in employees,SELECT MIN(salary) FROM employees;
Find all records in customers where customer_id <= 10,SELECT * FROM customers WHERE customer_id <= 10;
Find average age in students,SELECT AVG(age) FROM students;
List all date from orders,SELECT date FROM orders;
Show all products ordered by name,SELECT * FROM products ORDER BY name;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Find average city in customers,SELECT AVG(city) FROM customers;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Show all students ordered by name,SELECT * FROM students ORDER BY name;
Find all records in orders where amount <= 20,SELECT * FROM orders WHERE amount <= 20;
Show all products,SELECT * FROM products;
Find average age in employees,SELECT AVG(age) FROM employees;
Show all students,SELECT * FROM students;
Show all students ordered by name,SELECT * FROM students ORDER BY name;
Find maximum marks in students,SELECT MAX(marks) FROM students;
List all customer_id from orders,SELECT customer_id FROM orders;
Find all records in employees where id >= 90,SELECT * FROM employees WHERE id >= 90;
List all age from students,SELECT age FROM students;
Count all rows in products,SELECT COUNT(*) FROM products;
List all age from students,SELECT age FROM students;
Show all products,SELECT * FROM products;
Find average name in employees,SELECT AVG(name) FROM employees;
Find average department in students,SELECT AVG(department) FROM students;
List all id from students,SELECT id FROM students;
Show all students ordered by name,SELECT * FROM students ORDER BY name;
Find maximum customer_id in orders,SELECT MAX(customer_id) FROM orders;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Count all rows in students,SELECT COUNT(*) FROM students;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show name from customers where age = 60,SELECT name FROM customers WHERE age = 60;
Find average amount in orders,SELECT AVG(amount) FROM orders;
Find maximum id in employees,SELECT MAX(id) FROM employees;
Show id from employees where salary > 30,SELECT id FROM employees WHERE salary > 30;
Find average id in students,SELECT AVG(id) FROM students;
Find average name in students,SELECT AVG(name) FROM students;
Find minimum amount in orders,SELECT MIN(amount) FROM orders;
Find minimum name in products,SELECT MIN(name) FROM products;
Show status from orders where order_id = 60,SELECT status FROM orders WHERE order_id = 60;
Show all products ordered by product_id,SELECT * FROM products ORDER BY product_id;
List all category from products,SELECT category FROM products;
List all name from customers,SELECT name FROM customers;
Find average name in students,SELECT AVG(name) FROM students;
Find maximum name in students,SELECT MAX(name) FROM students;
Show all products ordered by stock,SELECT * FROM products ORDER BY stock;
Show all customers ordered by name,SELECT * FROM customers ORDER BY name;
Find all records in students where id >= 60,SELECT * FROM students WHERE id >= 60;
Find minimum age in employees,SELECT MIN(age) FROM employees;
Show all customers ordered by age,SELECT * FROM customers ORDER BY age;
Find maximum department in employees,SELECT MAX(department) FROM employees;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Show all customers,SELECT * FROM customers;
Show all products ordered by name,SELECT * FROM products ORDER BY name;
Find all records in products where stock >= 50,SELECT * FROM products WHERE stock >= 50;
Find all records in students where id > 70,SELECT * FROM students WHERE id > 70;
Find all records in students where department < 40,SELECT * FROM students WHERE department < 40;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
Find minimum city in customers,SELECT MIN(city) FROM customers;
Find maximum department in employees,SELECT MAX(department) FROM employees;
Find all records in customers where age > 80,SELECT * FROM customers WHERE age > 80;
Find minimum product_id in products,SELECT MIN(product_id) FROM products;
Show all employees,SELECT * FROM employees;
Count all rows in orders,SELECT COUNT(*) FROM orders;
List all customer_id from customers,SELECT customer_id FROM customers;
List all name from students,SELECT name FROM students;
List all id from employees,SELECT id FROM employees;
Find all records in employees where name > 30,SELECT * FROM employees WHERE name > 30;
Find all records in students where name < 20,SELECT * FROM students WHERE name < 20;
Find all records in customers where customer_id >= 70,SELECT * FROM customers WHERE customer_id >= 70;
Show all orders ordered by customer_id,SELECT * FROM orders ORDER BY customer_id;
Find all records in customers where membership > 20,SELECT * FROM customers WHERE membership > 20;
Find minimum marks in students,SELECT MIN(marks) FROM students;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Show customer_id from customers where age >= 30,SELECT customer_id FROM customers WHERE age >= 30;
Find all records in employees where name >= 20,SELECT * FROM employees WHERE name >= 20;
Count all rows in products,SELECT COUNT(*) FROM products;
Find maximum age in students,SELECT MAX(age) FROM students;
Find minimum department in students,SELECT MIN(department) FROM students;
Find average id in students,SELECT AVG(id) FROM students;
Find maximum name in products,SELECT MAX(name) FROM products;
Show all products ordered by name,SELECT * FROM products ORDER BY name;
List all id from students,SELECT id FROM students;
Count all rows in customers,SELECT COUNT(*) FROM customers;
List all amount from orders,SELECT amount FROM orders;
List all name from students,SELECT name FROM students;
Find minimum city in customers,SELECT MIN(city) FROM customers;
Find average category in products,SELECT AVG(category) FROM products;
Find maximum id in students,SELECT MAX(id) FROM students;
List all age from employees,SELECT age FROM employees;
Count all rows in students,SELECT COUNT(*) FROM students;
Find maximum stock in products,SELECT MAX(stock) FROM products;
Find minimum amount in orders,SELECT MIN(amount) FROM orders;
Show age from customers where membership < 20,SELECT age FROM customers WHERE membership < 20;
Find maximum salary in employees,SELECT MAX(salary) FROM employees;
Find average department in students,SELECT AVG(department) FROM students;
Find minimum name in customers,SELECT MIN(name) FROM customers;
Show all employees ordered by name,SELECT * FROM employees ORDER BY name;
Count all rows in products,SELECT COUNT(*) FROM products;
Find average salary in employees,SELECT AVG(salary) FROM employees;
Show category from products where name = 70,SELECT category FROM products WHERE name = 70;
Find minimum price in products,SELECT MIN(price) FROM products;
Show all orders ordered by customer_id,SELECT * FROM orders ORDER BY customer_id;
List all order_id from orders,SELECT order_id FROM orders;
Show order_id from orders where order_id <= 20,SELECT order_id FROM orders WHERE order_id <= 20;
